bulletin_month,category,country,final_action_date,date_of_filing,source
2023-12,EB-2,India,2012-01-01,2012-05-15,travel.state.gov
2023-12,EB-3,India,2012-05-01,2012-08-01,travel.state.gov
2024-01,EB-1,India,2020-09-01,2021-01-01,travel.state.gov
2024-01,EB-2,India,2012-03-01,2012-05-15,travel.state.gov
2024-01,EB-3,India,2012-06-01,2012-08-01,travel.state.gov
2024-02,EB-1,India,2020-09-01,2021-01-01,travel.state.gov
2024-02,EB-2,India,2012-03-01,2012-05-15,travel.state.gov
2024-02,EB-3,India,2012-07-01,2012-08-01,travel.state.gov
2024-03,EB-1,India,2020-10-01,2021-01-01,travel.state.gov
2024-03,EB-2,India,2012-03-01,2012-05-15,travel.state.gov
2024-03,EB-3,India,2012-07-01,2012-08-01,travel.state.gov
2024-04,EB-1,India,2021-03-01,2021-04-01,travel.state.gov
2024-04,EB-2,India,2012-04-15,2012-05-15,travel.state.gov
2024-04,EB-3,India,2012-08-15,2012-09-15,travel.state.gov
2024-05,EB-1,India,2021-03-01,2021-04-01,travel.state.gov
2024-05,EB-2,India,2012-04-15,2012-05-15,travel.state.gov
2024-05,EB-3,India,2012-08-15,2012-09-15,travel.state.gov
2024-06,EB-1,India,2021-03-01,2021-04-01,travel.state.gov
2024-06,EB-2,India,2012-04-15,2012-05-15,travel.state.gov
2024-06,EB-3,India,2012-08-22,2012-09-15,travel.state.gov
2024-07,EB-1,India,2022-02-01,2022-02-08,travel.state.gov
2024-07,EB-2,India,2012-06-15,2012-06-22,travel.state.gov
2024-07,EB-3,India,2012-09-22,2012-10-01,travel.state.gov
2024-08,EB-1,India,2022-02-01,2022-02-08,travel.state.gov
2024-08,EB-2,India,2012-07-15,2012-07-22,travel.state.gov
2024-08,EB-3,India,2012-10-22,2012-11-01,travel.state.gov
2024-09,EB-1,India,2022-02-01,2022-02-08,travel.state.gov
2024-09,EB-2,India,2012-07-15,2012-07-22,travel.state.gov
2024-09,EB-3,India,2012-10-22,2012-11-01,travel.state.gov
2024-10,EB-1,India,2022-02-01,2022-04-15,travel.state.gov
2024-10,EB-2,India,2012-07-15,2013-01-01,travel.state.gov
2024-10,EB-3,India,2012-11-01,2013-06-08,travel.state.gov
2024-11,EB-1,India,2022-02-01,2022-04-15,travel.state.gov
2024-11,EB-2,India,2012-07-15,2013-01-01,travel.state.gov
2024-11,EB-3,India,2012-11-01,2013-06-08,travel.state.gov
2024-12,EB-1,India,2022-02-01,2022-04-15,travel.state.gov
2024-12,EB-2,India,2012-08-01,2013-01-01,travel.state.gov
2024-12,EB-3,India,2012-11-08,2013-06-08,travel.state.gov
2025-01,EB-1,India,2022-02-01,2022-04-15,travel.state.gov
2025-01,EB-2,India,2012-10-01,2013-01-01,travel.state.gov
2025-01,EB-3,India,2012-12-01,2013-06-08,travel.state.gov
2025-02,EB-1,India,2022-02-01,2022-04-15,travel.state.gov
2025-02,EB-2,India,2012-10-15,2013-01-01,travel.state.gov
2025-02,EB-3,India,2012-12-15,2013-06-08,travel.state.gov
2025-03,EB-1,India,2022-02-01,2022-04-15,travel.state.gov
2025-03,EB-2,India,2012-12-01,2013-01-01,travel.state.gov
2025-03,EB-3,India,2013-02-01,2013-06-08,travel.state.gov
2025-04,EB-1,India,2022-02-15,2022-04-15,travel.state.gov
2025-04,EB-2,India,2013-01-01,2013-02-01,travel.state.gov
2025-04,EB-3,India,2013-04-01,2013-06-08,travel.state.gov
2025-05,EB-1,India,2022-02-15,2022-04-15,travel.state.gov
2025-05,EB-2,India,2013-01-01,2013-02-01,travel.state.gov
2025-05,EB-3,India,2013-04-15,2013-06-08,travel.state.gov
2025-06,EB-1,India,2022-02-15,2022-04-15,travel.state.gov
2025-06,EB-2,India,2013-01-01,2013-02-01,travel.state.gov
2025-06,EB-3,India,2013-04-15,2013-06-08,travel.state.gov
2025-07,EB-1,India,2022-02-15,2022-04-15,travel.state.gov
2025-07,EB-2,India,2013-01-01,2013-02-01,travel.state.gov
2025-07,EB-3,India,2013-04-22,2013-06-08,travel.state.gov
2025-08,EB-1,India,2022-02-15,2022-04-15,travel.state.gov
2025-08,EB-2,India,2013-01-01,2013-02-01,travel.state.gov
2025-08,EB-3,India,2013-05-22,2013-06-08,travel.state.gov
2025-09,EB-1,India,2022-02-15,2022-04-15,travel.state.gov
2025-09,EB-2,India,2013-01-01,2013-02-01,travel.state.gov
2025-09,EB-3,India,2013-05-22,2013-06-08,travel.state.gov
2025-10,EB-1,India,2022-02-15,2023-04-15,travel.state.gov
2025-10,EB-2,India,2013-04-01,2013-12-01,travel.state.gov
2025-10,EB-3,India,2013-08-22,2014-08-15,travel.state.gov
2025-11,EB-1,India,2022-02-15,2023-04-15,travel.state.gov
2025-11,EB-2,India,2013-04-01,2013-12-01,travel.state.gov
2025-11,EB-3,India,2013-08-22,2014-08-15,travel.state.gov
2025-12,EB-1,India,2022-03-15,2023-04-15,travel.state.gov
2025-12,EB-2,India,2013-05-15,2013-12-01,travel.state.gov
2025-12,EB-3,India,2013-09-22,2014-08-15,travel.state.gov
2026-01,EB-1,India,2023-02-01,2023-08-01,travel.state.gov
2026-01,EB-2,India,2013-07-15,2013-12-01,travel.state.gov
2026-01,EB-3,India,2013-11-15,2014-08-15,travel.state.gov
2026-02,EB-1,India,2023-02-01,2023-08-01,travel.state.gov
2026-02,EB-2,India,2013-07-15,2013-12-01,travel.state.gov
2026-02,EB-3,India,2013-11-15,2014-08-15,travel.state.gov
2026-03,EB-1,India,2023-03-01,2023-12-01,travel.state.gov
2026-03,EB-2,India,2013-09-15,2014-11-01,travel.state.gov
2026-03,EB-3,India,2013-11-15,2014-08-15,travel.state.gov
2026-04,EB-1,India,2023-04-01,2023-12-01,travel.state.gov
2026-04,EB-2,India,2014-07-15,2015-01-15,travel.state.gov
2026-04,EB-3,India,2013-11-15,2015-01-15,travel.state.gov
2026-05,EB-1,India,2023-04-01,2023-12-01,travel.state.gov
2026-05,EB-2,India,2014-07-15,2015-01-15,travel.state.gov
2026-05,EB-3,India,2013-11-15,2015-01-15,travel.state.gov
2026-06,EB-1,India,2022-12-15,2023-12-01,travel.state.gov
2026-06,EB-2,India,2013-09-01,2015-01-15,travel.state.gov
2026-06,EB-3,India,2013-12-15,2015-01-15,travel.state.gov
2026-07,EB-1,India,2022-10-15,2023-12-01,travel.state.gov
2026-07,EB-2,India,U,2015-01-15,travel.state.gov
2026-07,EB-3,India,2014-01-01,2015-01-15,travel.state.gov
